TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	12-30-2015 12:01:34	5	5	b6e2fad0-8c9f-4417-a6bb-a325b138a378	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	2_4		F:\2015.12.30 Human circ 1-color 8x15k(Steven Gray)\\US10450393_S01.tif	US10450393_S01	6d3461fa-1355-41fb-8453-e057d6af8859	074301_D_F_20150519.xml	30-Dec-2015 12:22:38	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.89177	7.89177	1.7606	0	778303	1.38186	1.90865	0.723997	0	16.5352	24.427	1.20345	15342	24.427	1.20345	15342	9	102	0	261	7.89177	610.605	6567.25	15492	0.0576812	0	0.65372	1.67276	0.0597332	3136	2911	0.532748	2.35495	1.00194	2.02127	40.5961	0	7416.54	39.381	27.886	7.41453	0	85.6688	37.1082	29.7801	-1	2.13102	73	30.8627	1.49742	-1.90078	1.57012	0.188553	1.48401	0.0581261	215	2.35495	15603	4.334	7.61936	1.00547	0.842339	15229	0	0.054878	0.0478992	0.996012	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	6.71473	4.36833	5.6933	-1	755.152	52.5116	70.9655	24.0586	1.95029	2.28951	0	1	9	13762	23.1748	1	ExtractionEvaluate	5722	20 Bit	0	352	980.189	0	0	5.97405	1	1	0.0576812	1	30.8627	1	-1.90078	1	1.57012	1	2.35495	1	5.6933	1	-1	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	9906.52	2656.71	1.380611e+005	1.380611e+004	142515	24	6.154698e+000	0	0	0	0	0	0	142767	1	1	57.259	25.3603
DATA	2	1	2	66	1	DarkCorner	DarkCorner	9931.58	2656.57	2.324954e+000	2.290416e+000	42	24	5.921978e+000	0	0	0	0	0	0	1.67504	0	0	57.5363	24.831
DATA	3	1	3	66	1	DarkCorner	DarkCorner	9956.87	2656.86	2.331590e+000	2.295961e+000	41	24	5.939761e+000	0	0	0	0	0	0	1.52449	0	0	48.8603	24.6879
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	9982.42	2656.57	2.775216e+001	3.601725e+000	68	25	5.985889e+000	0	0	0	0	0	0	28.4674	1	1	57.5363	24.8678
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	10007.5	2656.47	2.339842e+000	2.305252e+000	41.5	25	6.000365e+000	0	0	0	0	0	0	1.69926	0	0	49.8279	25.4486
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	10033.4	2656.51	8.456354e+000	2.452234e+000	49	24	5.768798e+000	0	0	0	0	0	0	8.65156	1	0	51.0895	24.3856
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	10058.2	2656.71	8.347224e+000	2.449904e+000	48	25	5.707067e+000	0	0	0	0	0	0	8.53434	1	0	49.1849	24.8356
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	10083.8	2656.74	1.801888e+001	2.924608e+000	57	24	5.739831e+000	0	0	0	0	0	0	18.4206	1	1	49.1849	24.4195
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	10109.5	2656.65	1.066019e+001	2.691842e+000	44	24	5.629424e+000	0	0	0	0	0	0	10.9021	1	0	57.5363	24.7226
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	10134.6	2656.57	4.660999e+001	5.197979e+000	82	25	5.563016e+000	0	0	0	0	0	0	47.7052	1	1	57.5363	25.0722
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	10159.9	2657.02	2.339271e+000	2.302574e+000	42	25	5.502062e+000	0	0	0	0	0	0	1.36547	0	0	45.4864	25.1954
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	10185.5	2656.21	4.206477e+000	2.332631e+000	44.5	25	5.604898e+000	0	0	0	0	0	0	4.31751	1	0	47.5395	24.8318
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	10210.9	2656.83	5.921482e+000	2.366056e+000	45	24	5.809371e+000	0	0	0	0	0	0	6.08741	1	0	48.2044	24.8336
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	10236.5	2656.4	2.325648e+000	2.290428e+000	42	23	5.602755e+000	0	0	0	0	0	0	1.57435	0	0	50.4627	23.7363
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	10261.8	2656.86	1.040613e+001	2.506396e+000	50.5	23	5.045017e+000	0	0	0	0	0	0	10.7474	1	0	46.5243	23.1559
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	10287.4	2656.93	1.376875e+001	2.658339e+000	56	23	5.648030e+000	0	0	0	0	0	0	14.259	1	1	53.8203	23.7655
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	10312.7	2657.07	2.533215e+001	3.399730e+000	67.5	24	5.686628e+000	0	0	0	0	0	0	26.3106	1	1	48.8603	23.9406
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	10337.9	2656.85	3.172903e+001	3.895509e+000	70	24	5.752880e+000	0	0	0	0	0	0	33.0618	1	1	50.1463	24.0853
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	10363.5	2657	2.494446e+001	3.360929e+000	64	24	5.874458e+000	0	0	0	0	0	0	26.0794	1	1	54.1152	24.6086
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	10388.8	2656.65	6.938996e+000	2.349010e+000	48	24	5.654279e+000	0	0	0	0	0	0	7.28149	1	0	46.8651	24.0664
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	10413.9	2657.14	5.093412e+001	5.562779e+000	91.5	23	5.922982e+000	0	0	0	0	0	0	53.6331	1	1	47.8731	23.9463
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	10439.9	2656.88	2.152018e+001	3.097206e+000	65	24	5.721745e+000	0	0	0	0	0	0	22.7521	1	1	47.8731	24.5
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	10465.2	2657.03	2.258024e+000	2.218874e+000	37.5	24	5.457989e+000	0	0	0	0	0	0	-3.19789	0	0	45.4864	23.8333
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	10490.5	2657	2.248964e+000	2.209972e+000	38	23	5.670228e+000	0	0	0	0	0	0	-4.49265	0	0	54.1152	23.7524
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	10515.6	2656.84	6.754592e+000	2.302269e+000	49	24	5.529601e+000	0	0	0	0	0	0	7.2272	1	0	48.5334	23.9356
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	10541.2	2657.02	2.349546e+000	2.204544e+000	44	24	5.757901e+000	0	0	0	0	0	0	2.52422	1	0	46.1809	24.2713
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	10566.2	2656.63	3.369787e+000	2.208652e+000	45	24	6.206107e+000	0	0	0	0	0	0	3.63556	1	0	43.7019	24.7356
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	10592	2656.91	3.185171e+001	3.856288e+000	76	24	5.996926e+000	0	0	0	0	0	0	34.5051	1	1	48.5334	24.7985
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	10617.1	2656.96	2.203252e+000	2.165575e+000	41.5	24	5.878241e+000	0	0	0	0	0	0	0.517712	0	0	46.8651	24.3144
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	10642.6	2657.23	8.342162e+000	2.312170e+000	48	23	5.838480e+000	0	0	0	0	0	0	9.11011	1	0	42.9674	23.6518
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	10668.3	2656.99	2.766058e+001	3.501855e+000	69	23	5.208625e+000	0	0	0	0	0	0	30.3321	1	1	47.2035	23.5318
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	10693.5	2656.88	2.176856e+000	2.139113e+000	40	24	5.191017e+000	0	0	0	0	0	0	-0.369048	0	0	46.8651	24.2091
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	10719	2657.09	2.157364e+001	3.032408e+000	61	24	5.679099e+000	0	0	0	0	0	0	23.8405	1	1	45.835	24.1651
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	10744.2	2656.89	4.228372e+000	2.164759e+000	45	24	5.474143e+000	0	0	0	0	0	0	4.69021	1	0	48.2044	24.0602
