TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	12-31-2015 12:53:46	5	5	33b93d7f-a0a3-4ac7-b156-d03b23d50827	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	1_1		F:\2015.12.31 Yeast,Human circ 1-color 8x15k(yaonan,zhiqiaoming,jisenlin,wangkun,gongxiaohui,Steven Gray)\\US10450393_S01.tif	US10450393_S01	c8e743bf-2831-4301-9581-935c5664b557	074301_D_F_20150519.xml	31-Dec-2015 13:43:52	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.15388	7.15388	1.79788	0	778190	1.38403	1.8139	0.763011	0	16.4758	23.6296	1.36276	15438	23.6296	1.36276	15438	10	132	1	165	7.15388	615.033	6756.56	15463	0.0640902	0.00640902	0.845991	1.05749	0.0530962	3277	3021	0.813784	2.77641	1.00166	2.13291	38.6924	0	7598.79	39.8961	26.4219	9.38486	0	82.9255	34.7655	26.4334	-1	2.36083	70	29.0405	1.69226	-2.53434	1.72438	0.226879	1.56265	0.0534359	222	2.77641	15603	4.24404	7.61841	1.1087	0.906287	15175	0.0104167	0.0365854	0.0515646	0.99958	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	8.36172	3.48449	9.23583	-1	701.29	46.9763	67.9091	22.8452	1.95173	2.29137	0	1	8	13762	30.761	1	ExtractionEvaluate	6034	20 Bit	0	354	988.193	0	0	6.90551	1	1	0.0640902	1	29.0405	1	-2.53434	1	1.72438	1	2.77641	1	9.23583	0	-1	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	416.486	209.617	1.262043e+005	1.262043e+004	146254	26	6.372709e+000	0	0	0	0	0	0	146009	1	1	57.5363	26.1878
DATA	2	1	2	66	1	DarkCorner	DarkCorner	442.392	209.931	2.488927e+000	2.442912e+000	37	25	6.252592e+000	0	0	0	0	0	0	-3.95595	0	0	65	25.722
DATA	3	1	3	66	1	DarkCorner	DarkCorner	467.5	210	2.529253e+000	2.482493e+000	37	25	6.021813e+000	0	0	0	0	0	0	-1.71392	0	0	54.1152	25.5129
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	493	209.867	2.106924e+001	3.285165e+000	63	26	6.335484e+000	0	0	0	0	0	0	23.208	1	1	54.4085	26.3509
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	518.5	210	2.605080e+000	2.556918e+000	38.5	25	5.559050e+000	0	0	0	0	0	0	-0.753472	0	0	54.1152	25.1881
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	543.859	210.063	3.170136e+000	2.610447e+000	43	25	6.036625e+000	0	0	0	0	0	0	3.39682	1	0	45.835	25.1473
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	569.392	209.931	2.576770e+001	3.677325e+000	63	25	5.917563e+000	0	0	0	0	0	0	27.2691	1	1	53.8203	25.0098
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	594.5	210	4.265297e+001	5.023490e+000	78.5	24	5.533004e+000	0	0	0	0	0	0	44.6235	1	1	54.1152	24.7394
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	619.479	209.916	2.732620e+000	2.682100e+000	37	24	5.967819e+000	0	0	0	0	0	0	-1.501	0	0	47.8731	24.6389
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	645.219	209.973	3.154365e+001	4.158391e+000	71	24	5.632471e+000	0	0	0	0	0	0	32.3208	1	1	47.5395	24.1159
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	670.19	210.025	2.786277e+000	2.734766e+000	37	24	6.183556e+000	0	0	0	0	0	0	-1.85078	0	0	49.1849	24.775
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	695.853	210.162	2.811013e+000	2.759044e+000	38	25	6.210157e+000	0	0	0	0	0	0	-1.08219	0	0	46.1809	25.4358
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	720.881	209.78	3.670863e+000	2.805074e+000	44	26	6.453831e+000	0	0	0	0	0	0	3.66487	1	0	44.4243	25.9777
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	746.479	209.873	2.854983e+000	2.815210e+000	39	24	5.919187e+000	0	0	0	0	0	0	2.67842	0	0	47.8731	24.7679
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	771.8	210.1	1.154669e+001	3.049009e+000	50	24	5.754456e+000	0	0	0	0	0	0	11.3605	1	0	44.7812	24.7196
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	796.889	210.083	4.515092e+000	2.875732e+000	42.5	25	5.790987e+000	0	0	0	0	0	0	4.41389	1	0	46.8651	25.1113
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	822.736	209.764	2.778674e+001	3.985713e+000	67	24	5.427251e+000	0	0	0	0	0	0	26.9989	1	1	47.2035	24.539
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	848.068	209.973	3.613316e+001	4.616592e+000	72	25	5.870978e+000	0	0	0	0	0	0	34.9125	1	1	46.8651	24.7676
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	874	210	4.194436e+001	5.092948e+000	78	24	5.614994e+000	0	0	0	0	0	0	40.3133	1	1	54.9904	24.0954
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	899.153	209.458	2.957113e+000	2.910355e+000	41	24	5.534495e+000	0	0	0	0	0	0	2.05156	0	0	42.9674	24.1356
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	924.084	209.901	7.400749e+001	7.954254e+000	107	24	5.898097e+000	0	0	0	0	0	0	70.4813	1	1	46.8651	24.2418
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	949.676	210.225	4.293389e+001	5.196543e+000	79.5	24	5.771309e+000	0	0	0	0	0	0	40.7166	1	1	47.5395	24.3213
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	974.862	209.81	2.994211e+000	2.938855e+000	38	24	5.609021e+000	0	0	0	0	0	0	-1.1181	0	0	43.7019	24.3127
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	1001.47	210.321	3.005545e+000	2.949980e+000	35.5	24	5.829938e+000	0	0	0	0	0	0	-3.58821	0	0	40.6843	24.4232
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	1026.13	209.846	7.571656e+000	3.054972e+000	45	24	5.921282e+000	0	0	0	0	0	0	7.10286	1	0	48.5334	24.4369
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	1051.5	210	4.051789e+000	2.996491e+000	42	24	5.534648e+000	0	0	0	0	0	0	3.789	1	0	54.1152	24.0998
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	1077.5	210	3.034042e+000	2.990434e+000	42	25	5.900227e+000	0	0	0	0	0	0	2.545	0	0	65	24.9823
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	1101.87	210.232	4.714652e+001	5.580599e+000	83	24	6.029199e+000	0	0	0	0	0	0	43.8398	1	1	46.1809	24.7441
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	1128	210	1.854087e+001	3.521526e+000	56	24	5.914815e+000	0	0	0	0	0	0	17.1939	1	1	54.9904	24.1556
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	1152.46	210.603	3.057340e+000	3.000984e+000	39	24	5.772438e+000	0	0	0	0	0	0	0.292858	0	0	44.0646	24.1275
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	1178.37	209.93	6.050236e+001	6.756825e+000	94	25	6.011631e+000	0	0	0	0	0	0	55.8403	1	1	47.5395	25.0672
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	1204.09	210.065	3.071691e+000	3.014902e+000	37	24	6.196466e+000	0	0	0	0	0	0	-0.619933	0	0	54.4085	24.4682
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	1229.34	209.732	6.877637e+001	7.512034e+000	100	24	5.847779e+000	0	0	0	0	0	0	63.1999	1	1	47.5395	24.5665
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	1254.49	209.983	1.085144e+001	3.215887e+000	49	24	5.793798e+000	0	0	0	0	0	0	9.95219	1	0	43.7019	24.1858
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	1279.69	210.414	3.089911e+000	3.032785e+000	37	23	5.746810e+000	0	0	0	0	0	0	-3.18433	0	0	46.5243	24.0368
