TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	12-31-2015 12:53:46	5	5	33b93d7f-a0a3-4ac7-b156-d03b23d50827	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	1_2		F:\2015.12.31 Yeast,Human circ 1-color 8x15k(yaonan,zhiqiaoming,jisenlin,wangkun,gongxiaohui,Steven Gray)\\US10450393_S01.tif	US10450393_S01	c8e743bf-2831-4301-9581-935c5664b557	074301_D_F_20150519.xml	31-Dec-2015 13:43:52	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.15388	7.15388	1.79788	0	778190	1.46465	1.79887	0.814206	0	16.3016	23.4555	1.36099	15444	23.4555	1.36099	15444	10	75	6	159	7.15388	668.901	7185.35	15519	0.0640902	0.0384541	0.480677	1.01903	0.0597332	2772	2536	0.971581	1.85847	1.01014	1.40727	37.6833	0	8879.93	40.2098	25.7538	8.61294	0	93.8289	34.667	25.6874	-1	2.65936	76	28.8665	1.87393	-1.68518	1.58053	0.250401	1.242	0.0467272	239	1.85847	15603	4.24404	7.61841	1.11499	1.01741	15275	0	0.0304878	0.0456299	1.00133	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	9.64854	3.95831	7.66367	-1	695.556	50.6728	67.2353	23.4194	1.94732	2.29386	0	1	9	13762	34.354	1	ExtractionEvaluate	7670	20 Bit	0	354	988.193	0	0	4.83013	1	1	0.0640902	1	28.8665	1	-1.68518	1	1.58053	1	1.85847	1	7.66367	1	-1	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	3591.48	210.97	1.662233e+005	1.662233e+004	149441	25	6.529347e+000	0	0	0	0	0	0	149280	1	1	54.1152	25.1557
DATA	2	1	2	66	1	DarkCorner	DarkCorner	3616.61	210.931	2.097223e+000	2.063092e+000	37	25	5.752081e+000	0	0	0	0	0	0	-3.54215	0	0	53.8203	24.7806
DATA	3	1	3	66	1	DarkCorner	DarkCorner	3642.1	210.45	2.091419e+000	2.057383e+000	39	24	5.616035e+000	0	0	0	0	0	0	-1.6219	0	0	43.3362	24.1848
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	3668.41	211.255	4.177373e+001	4.653678e+000	75.5	23	5.625776e+000	0	0	0	0	0	0	37.8539	1	1	40.2912	23.3805
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	3692.91	210.935	2.079858e+000	2.046010e+000	39.5	23	5.231618e+000	0	0	0	0	0	0	-0.408756	0	0	54.4085	23.446
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	3717.89	210.762	3.718593e+000	2.074796e+000	44	24	6.057776e+000	0	0	0	0	0	0	3.3857	1	0	45.1352	24.3264
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	3743.61	210.931	1.726038e+001	2.669435e+000	56	24	5.960577e+000	0	0	0	0	0	0	15.7527	1	1	53.8203	24.499
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	3769.1	210.639	1.245520e+001	2.383445e+000	51	24	5.988683e+000	0	0	0	0	0	0	11.3909	1	1	43.7019	23.8349
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	3794.63	210.821	2.061431e+000	2.027882e+000	39	24	5.715308e+000	0	0	0	0	0	0	-2.61264	0	0	45.835	24.0057
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	3819.91	210.935	2.843744e+001	3.490485e+000	67	24	5.603323e+000	0	0	0	0	0	0	26.1116	1	1	54.4085	24.2534
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	3845.27	211.134	2.053760e+000	2.020336e+000	39	23	5.663431e+000	0	0	0	0	0	0	-1.93639	0	0	45.835	23.9922
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	3870.25	210.458	2.050799e+000	2.024965e+000	42	23	5.669990e+000	0	0	0	0	0	0	1.60837	0	0	51.4001	23.8067
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	3895.96	210.627	8.830559e+000	2.199268e+000	48	24	5.644105e+000	0	0	0	0	0	0	8.14783	1	0	49.1849	23.7245
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	3921.43	210.259	2.044766e+000	2.015046e+000	41.5	23	6.132728e+000	0	0	0	0	0	0	1.10566	0	0	51.0895	23.5795
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	3946.56	210.654	1.758144e+001	2.669410e+000	56.5	23	5.876008e+000	0	0	0	0	0	0	16.2669	1	1	50.1463	23.0705
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	3972.81	210.955	2.039140e+000	2.009182e+000	41	22	5.757660e+000	0	0	0	0	0	0	1.05474	0	0	52.9257	22.9186
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	3997.75	210.831	5.175220e+001	5.549589e+000	88.5	24	5.946964e+000	0	0	0	0	0	0	47.9998	1	1	49.5074	24.1641
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	4022.65	210.556	3.945599e+001	4.424351e+000	77.5	23	5.726886e+000	0	0	0	0	0	0	36.6313	1	1	48.2044	23.7803
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	4048.22	210.833	5.048682e+001	5.430276e+000	85	24	5.894534e+000	0	0	0	0	0	0	46.9218	1	1	47.8731	23.8585
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	4073.38	210.658	8.109702e+000	2.156243e+000	49	23	5.638652e+000	0	0	0	0	0	0	7.54364	1	0	48.5334	23.7218
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	4099.1	210.875	9.506247e+001	9.713558e+000	126	24	5.828122e+000	0	0	0	0	0	0	88.5073	1	1	46.8651	23.8593
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	4124.77	210.547	3.578183e+001	4.096579e+000	74.5	24	5.700715e+000	0	0	0	0	0	0	33.3392	1	1	49.1849	23.8196
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	4149.6	210.958	2.026011e+000	1.993040e+000	39	23	5.725705e+000	0	0	0	0	0	0	-2.31589	0	0	48.2044	23.3196
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	4175.14	210.286	2.024829e+000	1.991876e+000	38	23	5.102229e+000	0	0	0	0	0	0	-2.7554	0	0	47.2035	23.1757
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	4200.64	210.868	4.916447e+000	2.050191e+000	45	23	5.210841e+000	0	0	0	0	0	0	4.59064	1	0	49.8279	23.3405
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	4226.14	210.563	5.381125e+000	2.060728e+000	46	24	5.575051e+000	0	0	0	0	0	0	5.02741	1	0	44.4243	23.9734
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	4251.21	210.921	3.500878e+000	2.018546e+000	44.5	24	5.687041e+000	0	0	0	0	0	0	3.27285	1	0	48.8603	24.0231
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	4276.86	210.278	6.242916e+001	6.551505e+000	97.5	23	5.443788e+000	0	0	0	0	0	0	58.3905	1	1	47.8731	23.1388
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	4301.88	210.718	2.018654e+000	1.991224e+000	40	23	5.634161e+000	0	0	0	0	0	0	1.37425	0	0	49.8279	23.3809
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	4328.16	210.273	3.635343e+000	2.017843e+000	44	23	6.074265e+000	0	0	0	0	0	0	3.40392	1	0	49.5074	23.8626
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	4353.32	210.6	7.255991e+001	7.522261e+000	109	23	5.753888e+000	0	0	0	0	0	0	67.9798	1	1	50.7771	23.2054
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	4378.5	210.5	2.015465e+000	1.982664e+000	39	23	5.711935e+000	0	0	0	0	0	0	-0.260612	0	0	57.5363	23.397
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	4404.26	210.513	6.293566e+001	6.598153e+000	94	23	5.478654e+000	0	0	0	0	0	0	59.0257	1	1	50.4627	23.3736
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	4429.47	210.227	8.894581e+000	2.171133e+000	47	23	5.009649e+000	0	0	0	0	0	0	8.34622	1	0	49.1849	23.2294
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	4454.67	210.5	2.012136e+000	1.985815e+000	39	23	5.187704e+000	0	0	0	0	0	0	1.49859	0	0	57.5363	23.334
