TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	12-23-2015 13:01:23	5	5	bd6e49e6-908e-46d5-a9d2-a6ed48915a9d	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	2_3		F:\2015.12.23 Yeast,Human circ 1-color 8x15k(yaonan,yangzhan,Steven Gray)\\US10450393_S01.tif	US10450393_S01	8edb6548-ce30-4d26-9fa5-e1213fd888c1	074301_D_F_20150519.xml	23-Dec-2015 13:50:01	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.17391	7.17391	1.80855	0	778304	1.2649	2.46984	0.512138	0	13.1814	20.3554	1.30494	15262	20.3554	1.30494	15262	5	62	13	341	7.17391	847.363	7831.2	15536	0.0320451	0.0833173	0.397359	2.18548	0.0331851	3640	3407	1.17191	2.6199	1.00249	2.53424	41.753	0	17173.3	39.6876	28.7184	6.67701	0	80.1698	38.3816	31.3179	-1	2.19205	74	32.5526	2.07366	-1.92611	1.9277	0.214638	1.25899	0.0744563	318	2.6199	15603	4.3026	7.61912	1.09048	0.799768	15205	0	0.0243902	0.0357649	0.990803	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	5.04101	3.30153	6.42657	-1	769.677	56.4622	58.4516	20.2419	1.94745	2.31347	0	1	5	13762	17.5811	1	ExtractionEvaluate	4553	20 Bit	0	355	971.196	0	0	6.53252	1	1	0.0320451	1	32.5526	1	-1.92611	1	1.9277	1	2.6199	1	6.42657	1	-1	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	6698.96	2684.46	1.386625e+005	1.386625e+004	126758	19	5.306480e+000	0	0	0	0	0	0	126565	1	1	55.8519	19.3289
DATA	2	1	2	66	1	DarkCorner	DarkCorner	6724.5	2684.5	2.913249e+000	2.865078e+000	43	19	4.919897e+000	0	0	0	0	0	0	0.775747	0	0	57.5363	18.9839
DATA	3	1	3	66	1	DarkCorner	DarkCorner	6749.59	2684.53	2.905858e+000	2.859874e+000	40.5	18	4.889885e+000	0	0	0	0	0	0	1.26291	0	0	46.8651	18.4303
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	6775.33	2684.5	2.179652e+001	3.586587e+000	60	18	4.673471e+000	0	0	0	0	0	0	20.0488	1	1	57.5363	18.8924
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	6800.04	2684.52	9.663030e+000	2.999521e+000	48.5	19	4.861737e+000	0	0	0	0	0	0	8.91538	1	0	51.0895	19.1
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	6826	2684.54	1.493178e+001	3.199593e+000	52.5	19	4.901151e+000	0	0	0	0	0	0	13.8242	1	1	55.8519	19.3797
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	6851.27	2684.38	5.003919e+000	2.863722e+000	46	19	5.065236e+000	0	0	0	0	0	0	4.64941	1	0	51.0895	19.1832
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	6876.68	2684.44	1.525577e+001	3.196474e+000	56	19	4.821463e+000	0	0	0	0	0	0	14.2292	1	1	50.1463	19.1773
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	6901.72	2684.94	9.502859e+000	2.954909e+000	50.5	19	4.896060e+000	0	0	0	0	0	0	8.8982	1	0	45.4864	19.0922
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	6927.5	2684.5	4.287355e+001	5.113106e+000	81	20	5.345735e+000	0	0	0	0	0	0	40.3158	1	1	57.5363	19.7202
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	6953	2684.54	6.973831e+000	2.860452e+000	47	19	4.916549e+000	0	0	0	0	0	0	6.58611	1	0	55.8519	19.3333
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	6978.18	2684.45	5.581963e+000	2.817844e+000	45	19	4.706266e+000	0	0	0	0	0	0	5.29478	1	0	48.2044	19.1105
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	7003.55	2684.58	9.113050e+000	2.896705e+000	47.5	19	4.884800e+000	0	0	0	0	0	0	8.68313	1	0	47.5395	19.2189
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	7028.93	2684.45	8.705552e+000	2.872102e+000	49	19	4.862484e+000	0	0	0	0	0	0	8.33314	1	0	48.8603	19.2606
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	7054.26	2684.47	1.069295e+001	2.926664e+000	52	18	5.312559e+000	0	0	0	0	0	0	10.2831	1	0	49.1849	18.8534
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	7079.91	2684.49	9.932838e+000	2.887663e+000	50	18	4.806033e+000	0	0	0	0	0	0	9.59746	1	0	50.4627	18.6629
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	7105.13	2684.66	2.967910e+001	4.011530e+000	68	19	4.934045e+000	0	0	0	0	0	0	28.8108	1	1	51.0895	19.2726
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	7130.67	2684.5	1.814296e+001	3.241335e+000	58	19	4.876458e+000	0	0	0	0	0	0	17.6965	1	1	65	19.1938
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	7155.81	2684.61	4.920291e+001	5.599747e+000	89.5	19	4.772546e+000	0	0	0	0	0	0	48.2155	1	1	49.1849	19.0914
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	7181.29	2684.84	8.315039e+000	2.788044e+000	50	18	4.716661e+000	0	0	0	0	0	0	8.18612	1	0	45.1352	18.6965
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	7206.62	2684.63	1.697691e+001	3.146111e+000	58	18	5.201040e+000	0	0	0	0	0	0	16.792	1	1	46.5243	18.7323
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	7232.07	2684.64	3.344890e+001	4.259111e+000	73	18	4.775327e+000	0	0	0	0	0	0	33.2369	1	1	49.1849	18.476
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	7257.52	2684.37	2.669837e+000	2.624540e+000	37	18	4.817606e+000	0	0	0	0	0	0	-3.29038	0	0	44.4243	18.666
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	7282.75	2684.6	2.658309e+000	2.613208e+000	38	19	5.121885e+000	0	0	0	0	0	0	-2.69099	0	0	44.7812	19.0038
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	7308.36	2684.48	7.850558e+000	2.717626e+000	49	19	4.854382e+000	0	0	0	0	0	0	7.90529	1	0	49.8279	19.3155
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	7333.61	2684.78	2.635861e+000	2.591141e+000	40	19	5.011914e+000	0	0	0	0	0	0	-0.136574	0	0	52.0157	19.252
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	7359.18	2684.61	2.624949e+000	2.591555e+000	43	18	4.868294e+000	0	0	0	0	0	0	2.43718	0	0	49.5074	18.9416
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	7384.63	2684.63	2.115641e+001	3.329021e+000	62	18	4.824956e+000	0	0	0	0	0	0	21.5647	1	1	47.8731	18.7548
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	7409.76	2684.43	2.604752e+000	2.560913e+000	39.5	18	5.100904e+000	0	0	0	0	0	0	0.435248	0	0	49.1849	18.4779
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	7435.31	2684.38	6.182483e+000	2.625090e+000	45.5	19	4.989013e+000	0	0	0	0	0	0	6.34886	1	0	46.5243	18.855
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	7460.88	2684.63	3.045989e+001	3.967762e+000	70	19	5.252285e+000	0	0	0	0	0	0	31.3853	1	1	48.5334	19.0193
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	7486.04	2685.18	2.578695e+000	2.534945e+000	35.5	19	5.065713e+000	0	0	0	0	0	0	-4.53496	0	0	46.8651	19.126
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	7511.54	2684.88	2.570588e+000	2.527607e+000	40	18	5.168752e+000	0	0	0	0	0	0	0.585337	0	0	48.8603	19.0156
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	7537.12	2684.68	4.654828e+000	2.562254e+000	43	19	5.341661e+000	0	0	0	0	0	0	4.8401	1	0	45.835	19.376
