TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	12-23-2015 13:01:23	5	5	bd6e49e6-908e-46d5-a9d2-a6ed48915a9d	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	2_4		F:\2015.12.23 Yeast,Human circ 1-color 8x15k(yaonan,yangzhan,Steven Gray)\\US10450393_S01.tif	US10450393_S01	8edb6548-ce30-4d26-9fa5-e1213fd888c1	074301_D_F_20150519.xml	23-Dec-2015 13:50:01	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.17391	7.17391	1.80855	0	778304	1.35148	2.58386	0.523048	0	12.6327	19.8066	1.23292	14884	19.8066	1.23292	14884	41	124	62	719	7.17391	1459.11	11923.9	15438	0.26277	0.397359	0.794719	4.60809	0.272118	4497	4216	1.99238	2.96491	1.0034	3.25411	41.2908	0	38025	39.1651	27.4107	6.80759	0	129.69	36.0605	28.5276	-1	3.54006	69	30.6987	2.01638	-3.2637	1.82992	0.190092	1.48612	0.0798825	463	2.96491	15603	4.3026	7.61912	1.14575	0.766599	15007	0	0.0520833	0.0490513	0.998178	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	4.89871	2.05749	5.86577	-1	732.063	53.3825	56.5714	20.3508	1.95044	2.31035	0	1	33	13762	22.9272	1	ExtractionEvaluate	4771	20 Bit	0	355	971.196	0	0	8.16912	1	1	0.26277	1	30.6987	1	-3.2637	1	1.82992	1	2.96491	1	5.86577	1	-1	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	9873.97	2684.51	1.820366e+005	1.820366e+004	161488	19	5.495678e+000	0	0	0	0	0	0	161126	1	1	55.8519	19.1491
DATA	2	1	2	66	1	DarkCorner	DarkCorner	9899.42	2684.43	3.369527e+000	3.306213e+000	38.5	18	5.359660e+000	0	0	0	0	0	0	0.430906	0	0	57.5363	18.6721
DATA	3	1	3	66	1	DarkCorner	DarkCorner	9923.67	2684.33	3.329392e+000	3.275724e+000	42	18	5.180687e+000	0	0	0	0	0	0	2.23134	0	0	39.8942	18.9064
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	9950.42	2684.43	2.407313e+001	4.025433e+000	63	18	4.938125e+000	0	0	0	0	0	0	22.1229	1	1	57.5363	18.6789
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	9975.5	2684.35	3.251959e+000	3.190517e+000	38	18	4.939548e+000	0	0	0	0	0	0	-0.472678	0	0	57.5363	18.4646
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	10001	2684.46	4.108531e+000	3.183489e+000	44	18	5.420679e+000	0	0	0	0	0	0	3.85872	1	0	55.8519	18.9469
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	10025.7	2684.03	3.785752e+000	3.147813e+000	42.5	18	4.924400e+000	0	0	0	0	0	0	3.59186	1	0	48.2044	18.4074
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	10051.5	2683.65	1.715290e+001	3.537672e+000	54	18	4.732310e+000	0	0	0	0	0	0	16.4372	1	1	45.835	17.7735
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	10076.4	2683.98	3.126704e+000	3.071821e+000	42	18	4.907950e+000	0	0	0	0	0	0	1.55059	0	0	42.2201	18.4881
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	10102.5	2684	3.676626e+001	4.771397e+000	74	18	4.822236e+000	0	0	0	0	0	0	35.8445	1	1	54.1152	18.4516
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	10127.9	2684.07	3.075361e+000	3.017255e+000	38	18	5.494051e+000	0	0	0	0	0	0	-0.326065	0	0	54.4085	18.9962
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	10152.9	2684.2	4.252302e+000	3.025600e+000	44	18	4.957771e+000	0	0	0	0	0	0	4.20879	1	0	46.1809	18.279
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	10178.1	2684.1	8.719536e+000	3.099859e+000	46	18	4.531863e+000	0	0	0	0	0	0	8.69086	1	0	46.8651	17.7564
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	10203.7	2684.03	3.012042e+000	2.955133e+000	39	18	4.646294e+000	0	0	0	0	0	0	-0.20636	0	0	48.5334	17.7117
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	10229	2683.81	8.913431e+000	3.069189e+000	49	18	4.341009e+000	0	0	0	0	0	0	8.99843	1	0	46.8651	18.0174
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	10254.6	2684.14	6.786795e+000	2.998863e+000	48	18	4.816599e+000	0	0	0	0	0	0	6.88869	1	0	48.5334	18.5088
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	10280.5	2684	3.941710e+001	4.896798e+000	74	18	4.802119e+000	0	0	0	0	0	0	40.224	1	1	54.1152	18.6235
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	10305.4	2684	1.121417e+002	1.158106e+001	153	19	5.070451e+000	0	0	0	0	0	0	114.971	1	1	48.5334	19.213
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	10330.8	2684	4.936496e+001	5.714876e+000	91	18	4.989779e+000	0	0	0	0	0	0	50.8314	1	1	46.8651	18.3006
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	10356.1	2684.25	4.851905e+000	2.909152e+000	44	18	4.852023e+000	0	0	0	0	0	0	5.01515	1	0	47.5395	17.8583
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	10381.5	2684.1	1.958222e+001	3.464386e+000	61	18	4.916982e+000	0	0	0	0	0	0	20.3158	1	1	47.8731	18.2593
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	10406.9	2684.01	4.543118e+001	5.362257e+000	89	18	5.049371e+000	0	0	0	0	0	0	47.2881	1	1	47.5395	18.4779
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	10432.6	2683.93	2.894732e+000	2.840058e+000	42	18	5.218188e+000	0	0	0	0	0	0	0.10895	0	0	48.2044	18.3365
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	10457.7	2683.9	2.887385e+000	2.832831e+000	35	18	5.155007e+000	0	0	0	0	0	0	-3.72707	0	0	45.835	18.1509
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	10483.3	2684.1	8.226907e+000	2.944050e+000	48	18	4.720607e+000	0	0	0	0	0	0	8.62897	1	0	45.835	18.4035
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	10508.7	2683.92	2.875387e+000	2.821059e+000	40	18	4.771020e+000	0	0	0	0	0	0	-0.360274	0	0	49.1849	18.6004
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	10533.9	2683.78	2.870530e+000	2.828740e+000	43	18	4.992388e+000	0	0	0	0	0	0	2.79042	0	0	45.835	18.3831
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	10559.3	2683.88	1.844478e+001	3.363507e+000	59	18	4.816346e+000	0	0	0	0	0	0	19.4432	1	1	48.8603	18.3855
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	10584.7	2683.85	2.863708e+000	2.809916e+000	43	18	4.910582e+000	0	0	0	0	0	0	0.443428	0	0	44.7812	18.4943
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	10610.2	2683.6	2.861040e+000	2.807547e+000	40	18	4.998093e+000	0	0	0	0	0	0	0.593775	0	0	46.1809	18.6849
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	10635.5	2684	6.435838e+001	7.020900e+000	107.5	18	4.724294e+000	0	0	0	0	0	0	68.0059	1	1	48.5334	18.6521
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	10661.5	2684	2.858946e+000	2.804929e+000	33	18	4.896722e+000	0	0	0	0	0	0	-7.46863	0	0	65	18.6348
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	10686.7	2684.2	2.858863e+000	2.808867e+000	43	19	5.242417e+000	0	0	0	0	0	0	1.5876	0	0	46.8651	19.2249
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	10712.1	2683.93	2.858840e+000	2.817451e+000	46	18	4.921220e+000	0	0	0	0	0	0	2.81635	0	0	54.4085	18.5922
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	10737	2683.66	2.859382e+000	2.808001e+000	43	18	4.942080e+000	0	0	0	0	0	0	1.28732	0	0	46.1809	18.5507
DATA	36	1	36	0	0	ASCRP3001026	ASCRP3001026	10762.4	2683.64	9.591442e+000	2.966062e+000	52	18	4.998756e+000	0	0	0	0	0	0	10.1321	1	0	48.2044	18.3225
DATA	37	1	37	0	0	ASCRP3002469	ASCRP3002469	10788.2	2683.62	2.862654e+000	2.809947e+000	43	18	5.092402e+000	0	0	0	0	0	0	0.929489	0	0	50.1463	18.9576
DATA	38	1	38	0	0	ASCRP3005995	ASCRP3005995	10813	2683.18	5.821923e+000	2.870110e+000	49	18	5.405051e+000	0	0	0	0	0	0	6.14192	1	0	45.1352	18.7731
DATA	39	1	39	0	0	ASCRP3003059	ASCRP3003059	10839	2683.54	3.466952e+000	2.834874e+000	46	18	5.065201e+000	0	0	0	0	0	0	3.65341	1	0	55.8519	18.4159
DATA	40	1	40	0	0	ASCRP3008503	ASCRP3008503	10864	2683.62	2.871017e+000	2.816772e+000	40	18	4.770676e+000	0	0	0	0	0	0	-4.23093	0	0	44.0646	18.3071
DATA	41	1	41	0	0	ASCRP3008062	ASCRP3008062	10889.5	2683.63	1.230312e+002	1.262224e+001	171	18	4.687581e+000	0	0	0	0	0	0	129.339	1	1	49.8279	18.7008
DATA	42	1	42	0	0	ASCRP3009593	ASCRP3009593	10915.4	2683.57	3.622240e+000	2.847364e+000	44	18	5.355268e+000	0	0	0	0	0	0	3.80268	1	0	57.5363	18.9903
DATA	43	1	43	0	0	Negative042	Negative042	10940.6	2682.98	2.882426e+000	2.840104e+000	45	19	5.409402e+000	0	0	0	0	0	0	2.74995	0	0	37.847	19.4131
DATA	44	1	44	0	0	ASCRP3006330	ASCRP3006330	10966	2683.54	9.015424e+001	9.450020e+000	136	19	5.273779e+000	0	0	0	0	0	0	94.3574	1	1	55.8519	19.1723
DATA	45	1	45	0	0	ASCRP3003988	ASCRP3003988	10991.3	2683.6	1.040124e+003	1.040511e+002	1139	19	5.039568e+000	0	0	0	0	0	0	1086.79	1	1	50.7771	19.2058
DATA	46	1	46	0	0	ASCRP3000521	ASCRP3000521	11016.5	2683.59	3.702191e+001	4.667547e+000	85	19	4.750314e+000	0	0	0	0	0	0	38.6164	1	1	48.5334	18.8618
DATA	47	1	47	0	0	ASCRP3012738	ASCRP3012738	11042.3	2683.48	2.902518e+000	2.847678e+000	40	19	5.049580e+000	0	0	0	0	0	0	-3.15944	0	0	49.8279	19.3019
DATA	48	1	48	0	0	ASCRP3009482	ASCRP3009482	11067.6	2683.57	2.907965e+000	2.853023e+000	39	19	5.301871e+000	0	0	0	0	0	0	-4.97983	0	0	57.5363	19.186
DATA	49	1	49	0	0	ASCRP3010011	ASCRP3010011	11093	2683.54	2.913528e+000	2.860227e+000	43	19	5.117615e+000	0	0	0	0	0	0	1.0366	0	0	55.8519	19.0739
DATA	50	1	50	0	0	A_23_P215720	NM_000492	11118.9	2683.71	2.919393e+000	2.864234e+000	37	18	4.944864e+000	0	0	0	0	0	0	-5.24386	0	0	40.2912	18.6744
DATA	51	1	51	0	0	ASCRP3005914	ASCRP3005914	11143.7	2683.5	8.769633e+004	8.769633e+003	90097	19	5.572022e+000	0	0	0	0	0	0	90606.6	1	1	57.5363	19.5553
DATA	52	1	52	0	0	ASCRP3008448	ASCRP3008448	11168.9	2683.71	2.930821e+000	2.881676e+000	45	18	5.191456e+000	0	0	0	0	0	0	1.95261	0	0	47.2035	18.6822
DATA	53	1	53	0	0	ASCRP3005403	ASCRP3005403	11194.6	2683.33	2.936632e+000	2.881147e+000	44	18	5.218667e+000	0	0	0	0	0	0	-0.488447	0	0	48.8603	19.0189
