TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	01-05-2016 12:02:15	5	5	2ed3590e-00bc-4ee1-97be-b2b3a79f496c	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	1_1		F:\2016.01.05 Yeast,Human GE,circ 1-color 8x15k(yaonan,zhiqiaoming,Steven Gray)\\US10450393_S01.tif	US10450393_S01	9a7e2cdf-fbfa-4e1e-871d-6dd5ebad44e9	074301_D_F_20150519.xml	05-Jan-2016 12:24:52	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.66295	7.66295	1.77688	0	778221	1.81534	1.97247	0.920338	0	14.0924	21.7554	1.25978	15358	21.7554	1.25978	15358	12	64	1	245	7.66295	873.237	7928.52	15528	0.0769083	0.00640902	0.410178	1.57021	0.0796443	2076	1859	1.68809	1.8743	1.01291	2.64438	37.4947	0	14574.8	44.6601	24.8058	10.1628	0	142.13	37.7063	26.1339	8.71392	4.61393	74	27.3894	1.99826	-2.37799	1.66513	0.311543	1.13414	0.0515767	326	1.8743	15603	4.36186	7.61956	0.798356	1.04437	15258	0.00609756	0.0365854	0.0662819	1.00182	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	14.7887	7.82615	7.91744	8.17207	671.875	48.1124	62.6786	21.5477	1.9471	2.30713	0	1	11	13762	56.1617	1	ExtractionEvaluate	9009	20 Bit	0	352	988.583	0	0	4.9639	1	1	0.0769083	1	27.3894	1	-2.37799	1	1.66513	1	1.8743	1	7.91744	1	8.17207	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	409.654	215.467	1.613393e+005	1.613393e+004	161814	25	6.174256e+000	0	0	0	0	1	0	161280	1	1	56.7004	25.5516
DATA	2	1	2	66	1	DarkCorner	DarkCorner	435.418	215.427	1.923189e+000	1.890560e+000	37	25	6.226902e+000	0	0	0	0	0	0	-5.12119	0	0	65	24.9961
DATA	3	1	3	66	1	DarkCorner	DarkCorner	460.865	215.5	1.936568e+000	1.903712e+000	39	25	6.239703e+000	0	0	0	0	1	0	-4.22594	0	0	48.5334	25.2023
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	486	215.455	5.827641e+001	6.134070e+000	99.5	25	5.857026e+000	0	0	0	0	0	0	57.0519	1	1	55.8519	24.928
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	511.229	214.757	1.956291e+000	1.923101e+000	37.5	25	6.475611e+000	0	0	0	0	1	0	-4.1773	0	0	46.8651	25.5129
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	537.493	215.881	7.192271e+000	2.060463e+000	47	25	6.145996e+000	0	0	0	0	0	0	6.98159	1	0	46.1809	24.9544
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	562.306	215.048	2.146689e+001	2.890514e+000	63	25	6.181263e+000	0	0	0	0	0	0	20.7864	1	1	45.1352	24.9291
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	587.714	215.727	1.038287e+001	2.200011e+000	51	25	6.461510e+000	0	0	0	0	0	0	10.0334	1	1	49.8279	24.8723
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	613.736	215.352	1.975188e+000	1.941677e+000	35	25	5.835361e+000	0	0	0	0	0	0	-5.81072	0	0	52.9257	24.8177
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	638.579	215.908	3.317643e+001	3.844566e+000	74	25	6.097410e+000	0	0	0	0	1	0	32.009	1	1	49.1849	25.4047
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	663.667	215.5	1.975700e+000	1.942181e+000	40	25	6.376893e+000	0	0	0	0	0	0	-1.51133	0	0	57.5363	24.9981
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	689.52	216.013	6.970546e+000	2.062234e+000	48	25	6.007055e+000	0	0	0	0	0	0	6.73151	1	0	48.5334	24.9214
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	714.627	215.373	2.563152e+001	3.213559e+000	65	24	5.853285e+000	0	0	0	0	0	0	24.7845	1	1	48.8603	24.9051
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	740.014	215.973	1.968705e+000	1.935304e+000	40	24	6.185999e+000	0	0	0	0	0	0	0.0106409	0	0	46.8651	24.6198
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	765.286	215.74	2.806225e+001	3.406648e+000	69	24	6.075266e+000	0	0	0	0	0	0	27.2325	1	1	49.8279	24.68
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	790.479	215.648	5.261897e+000	1.997556e+000	47	25	6.577272e+000	0	0	0	0	1	0	5.11798	1	0	47.8731	25.3594
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	816.241	215.823	1.249716e+002	1.264410e+001	161	25	6.414038e+000	0	0	0	0	0	0	121.865	1	1	50.4627	24.7761
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	841.554	216.415	2.065955e+001	2.818292e+000	59.5	24	5.933313e+000	0	0	0	0	0	0	20.2002	1	1	45.1352	24.1429
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	867.03	216.061	2.864962e+001	3.444049e+000	71	24	6.161237e+000	0	0	0	0	0	0	28.0935	1	1	46.8651	24.729
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	892.333	216.333	2.392568e+001	3.058849e+000	64	24	5.877614e+000	0	0	0	0	0	0	23.5299	1	1	46.8651	24.7771
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	917.366	216.127	1.307799e+002	1.321532e+001	170	25	5.967937e+000	0	0	0	0	0	0	128.994	1	1	47.5395	25.0959
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	943.208	216.194	1.085287e+002	1.101699e+001	146.5	24	6.302555e+000	0	0	0	0	0	0	107.37	1	1	47.5395	24.6622
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	968.175	216.079	1.921739e+000	1.893211e+000	42.5	24	6.114325e+000	0	0	0	0	0	0	1.2319	0	0	45.4864	24.3346
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	993.959	216.135	1.916272e+000	1.883761e+000	36	25	6.017194e+000	0	0	0	0	0	0	-3.7165	0	0	46.8651	24.7425
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	1019.46	216.099	1.209662e+001	2.234480e+000	53	24	5.768586e+000	0	0	0	0	0	0	12.0681	1	1	47.8731	24.5709
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	1044.68	215.819	5.671735e+000	1.958061e+000	46	24	5.832128e+000	0	0	0	0	0	0	5.67229	1	0	47.8731	24.0933
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	1069.72	216.338	3.408926e+000	1.900657e+000	43	24	6.157992e+000	0	0	0	0	0	0	3.41706	1	0	45.1352	24.5853
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	1095.34	216.324	6.161595e+001	6.437945e+000	103	24	5.967167e+000	0	0	0	0	0	0	61.8907	1	1	47.5395	23.925
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	1121.25	216.295	1.894758e+000	1.863435e+000	40	24	5.768147e+000	0	0	0	0	0	0	0.557338	0	0	56.1362	24.3848
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	1146.27	216.606	1.267041e+001	2.250426e+000	52	24	6.175794e+000	0	0	0	0	0	0	12.7689	1	1	47.8731	24.2797
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	1171.88	216.267	2.194881e+002	2.202729e+001	262	23	5.836138e+000	0	0	0	0	0	0	221.443	1	1	52.3208	23.9132
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	1196.76	216.296	1.888317e+000	1.856280e+000	37	23	5.967209e+000	0	0	0	0	0	0	-2.28616	0	0	47.2035	23.7278
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	1222.42	216.122	7.257534e+001	7.490972e+000	113	23	5.736920e+000	0	0	0	0	0	0	73.3108	1	1	48.5334	23.2195
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	1247.86	216.587	2.182781e+001	2.864703e+000	62.5	23	5.786501e+000	0	0	0	0	0	0	22.0518	1	1	44.4243	23.1583
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	1273.05	216.047	1.888091e+000	1.864073e+000	42	23	5.970149e+000	0	0	0	0	0	0	1.74375	0	0	46.1809	23.4362
