TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	01-05-2016 12:02:15	5	5	2ed3590e-00bc-4ee1-97be-b2b3a79f496c	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	1_2		F:\2016.01.05 Yeast,Human GE,circ 1-color 8x15k(yaonan,zhiqiaoming,Steven Gray)\\US10450393_S01.tif	US10450393_S01	9a7e2cdf-fbfa-4e1e-871d-6dd5ebad44e9	074301_D_F_20150519.xml	05-Jan-2016 12:24:52	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.66295	7.66295	1.77688	0	778221	1.59765	2.03885	0.783602	0	14.5825	22.2454	1.18159	15400	22.2454	1.18159	15400	4	54	0	203	7.66295	741.763	7069.76	15545	0.0256361	0	0.346087	1.30103	0.0265481	1848	1677	1.17346	1.37548	1.00052	2.33082	38.2046	0	13056.1	40.5629	26.7433	9.13174	0	107.799	37.7141	28.0513	7.26231	3.41412	75	29.5596	1.61684	-1.00897	1.13843	0.247517	1.0978	0.0513701	278	1.37548	15603	4.36186	7.61956	0.796773	0.962143	15280	0.00609756	0.0365854	0	0	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	9.99191	7.50993	9.13174	7.26231	718.462	56.8654	64.1471	23.3161	1.94572	2.30495	0	1	4	13762	34.3379	1	ExtractionEvaluate	8867	20 Bit	0	352	988.583	0	0	3.61766	1	1	0.0256361	1	29.5596	1	-1.00897	1	1.13843	1	1.37548	1	9.13174	0	7.26231	1	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	3584.57	219.541	1.458884e+005	1.458884e+004	145962	23	5.878736e+000	0	0	0	0	0	0	145888	1	1	57.5363	23.4108
DATA	2	1	2	66	1	DarkCorner	DarkCorner	3610.09	219.386	1.398714e+000	1.375971e+000	39.5	23	5.758042e+000	0	0	0	0	0	0	0.368008	0	0	57.259	23.3276
DATA	3	1	3	66	1	DarkCorner	DarkCorner	3635.63	219.5	1.398714e+000	1.375479e+000	40.5	23	5.627881e+000	0	0	0	0	0	0	-0.427943	0	0	49.8279	22.8736
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	3660.58	219.427	3.785366e+001	4.027522e+000	78	23	5.490744e+000	0	0	0	0	0	0	37.8537	1	1	57.5363	23.0096
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	3686.69	219.48	1.398714e+000	1.375488e+000	40	22.5	5.637503e+000	0	0	0	0	0	0	0.0499387	0	0	49.1849	22.8158
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	3711.8	219.171	7.152129e+000	1.550314e+000	46.5	22	5.581929e+000	0	0	0	0	0	0	7.15213	1	1	46.5243	22.7672
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	3737.01	219.768	1.016202e+001	1.710149e+000	50	22	5.772260e+000	0	0	0	0	0	0	10.162	1	1	46.5243	22.6875
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	3762.52	219.246	1.291091e+001	1.886494e+000	53	22	6.039571e+000	0	0	0	0	0	0	12.9109	1	1	46.1809	22.3668
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	3787.67	219.5	1.398714e+000	1.375479e+000	36.5	22	5.542222e+000	0	0	0	0	0	0	-2.58637	0	0	57.5363	22.3231
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	3813.42	219.427	1.725557e+001	2.206692e+000	56	22	5.596642e+000	0	0	0	0	0	0	17.2556	1	1	57.5363	22.3201
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	3838.58	219.427	1.398714e+000	1.380550e+000	42	22	5.746149e+000	0	0	0	0	0	0	1.18217	0	0	65	22.3824
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	3864.07	219.26	5.059475e+000	1.465580e+000	44	22	5.262422e+000	0	0	0	0	0	0	5.05947	1	0	47.8731	22.5376
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	3889.49	219.534	1.641927e+001	2.141931e+000	57	22	5.806117e+000	0	0	0	0	0	0	16.4193	1	1	49.1849	22.5121
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	3915.03	219.275	1.407794e+000	1.382665e+000	40.5	22	5.722041e+000	0	0	0	0	0	0	1.40779	1	0	46.1809	22.7347
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	3940.25	219.986	1.315204e+001	1.903078e+000	54	22	5.821178e+000	0	0	0	0	0	0	13.152	1	1	47.2035	22.4805
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	3965.53	219.556	3.058765e+000	1.409079e+000	42	22	5.659745e+000	0	0	0	0	0	0	3.05877	1	0	48.2044	22.0589
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	3990.86	219.944	8.189702e+001	8.304406e+000	121.5	22	5.677149e+000	0	0	0	0	0	0	81.897	1	1	46.8651	22.0558
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	4016.36	219.667	1.078730e+001	1.748028e+000	50	22	5.690608e+000	0	0	0	0	0	0	10.7873	1	1	48.2044	22.1111
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	4041.61	219.77	2.458601e+001	2.817208e+000	63	22	5.570138e+000	0	0	0	0	0	0	24.586	1	1	48.8603	22.5875
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	4067.21	219.758	1.064621e+001	1.739357e+000	49.5	22	6.062092e+000	0	0	0	0	0	0	10.6462	1	1	45.835	22.9379
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	4092.31	220.164	6.614249e+001	6.755756e+000	104	22	5.765127e+000	0	0	0	0	0	0	66.1425	1	1	45.835	22.6174
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	4117.74	219.42	7.701597e+001	7.823461e+000	116	23	5.429558e+000	0	0	0	0	0	0	77.016	1	1	46.8651	22.4765
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	4143.43	219.787	1.398714e+000	1.375479e+000	37	22	5.485963e+000	0	0	0	0	0	0	-0.776393	0	0	42.9674	22.4256
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	4169.3	219.493	1.398714e+000	1.375479e+000	37	22	5.385739e+000	0	0	0	0	0	0	-2.15814	0	0	46.8651	22.1619
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	4194.42	219.573	9.789070e+000	1.688254e+000	50	22	5.964416e+000	0	0	0	0	0	0	9.78907	1	1	57.5363	22.649
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	4219.51	219.671	3.923511e+000	1.430343e+000	43	21	5.615647e+000	0	0	0	0	0	0	3.92351	1	0	48.5334	21.8927
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	4244.93	220.088	3.827203e+000	1.427732e+000	44	22	5.580641e+000	0	0	0	0	0	0	3.8272	1	0	46.8651	22.0485
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	4270.32	219.521	2.982203e+001	3.284125e+000	70	22	5.749199e+000	0	0	0	0	0	0	29.822	1	1	48.5334	22.4171
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	4296.25	220.036	1.857826e+000	1.387969e+000	41	22.5	5.861800e+000	0	0	0	0	0	0	1.85783	1	0	41.8414	22.8
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	4321.43	219.987	6.246589e+000	1.510676e+000	45	22	5.664769e+000	0	0	0	0	0	0	6.24659	1	0	49.1849	21.9593
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	4346.74	220.426	8.721347e+001	8.829147e+000	128	22	5.655805e+000	0	0	0	0	0	0	87.2135	1	1	46.1809	21.937
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	4371.91	219.56	1.398714e+000	1.375479e+000	39	22	5.964957e+000	0	0	0	0	0	0	-1.04747	0	0	48.8603	22.191
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	4397.38	219.906	3.811323e+001	4.051929e+000	78.5	21	5.836793e+000	0	0	0	0	0	0	38.1132	1	1	45.1352	21.5907
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	4422.55	219.723	1.116373e+001	1.771506e+000	50	22	5.780931e+000	0	0	0	0	0	0	11.1637	1	1	45.4864	22.1271
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	4448.16	220.284	1.539868e+000	1.384072e+000	40	22	5.575715e+000	0	0	0	0	0	0	1.53987	1	0	45.835	21.7345
