TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	12-30-2015 12:01:34	5	5	b6e2fad0-8c9f-4417-a6bb-a325b138a378	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	1_4		F:\2015.12.30 Human circ 1-color 8x15k(Steven Gray)\\US10450393_S01.tif	US10450393_S01	6d3461fa-1355-41fb-8453-e057d6af8859	074301_D_F_20150519.xml	30-Dec-2015 12:22:38	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.89177	7.89177	1.7606	0	778303	1.64851	1.73196	0.951818	0	17.9031	25.7949	1.23982	15296	25.7949	1.23982	15296	27	75	1	307	7.89177	911.459	8723.91	15502	0.173044	0.00640902	0.480677	1.96757	0.1792	1863	1658	0.906677	1.78236	1.00114	2.45486	40.4666	0	15865.8	45.1395	28.827	7.25592	0	134.791	38.0005	30.0775	11.4898	3.20719	76	30.9035	1.52198	-1.66403	1.36597	0.243479	1.47433	0.0513477	301	1.78236	15603	4.334	7.61936	1.11239	1.06584	15170	0	0.0426829	0.0533418	0.99674	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	12.4884	5.2226	6.35973	9.9516	753.125	48.1679	73.7368	26.0235	1.95072	2.29341	0	1	26	13762	42.9752	1	ExtractionEvaluate	8658	20 Bit	0	352	980.189	0	0	4.35205	1	1	0.173044	1	30.9035	1	-1.66403	1	1.36597	1	1.78236	1	6.35973	1	9.9516	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	9905.77	193.713	1.993461e+005	1.993461e+004	175617	25.5	5.992249e+000	0	0	0	0	0	0	175323	1	1	56.7004	25.8324
DATA	2	1	2	66	1	DarkCorner	DarkCorner	9931.42	193.427	2.060710e+000	2.027174e+000	37	25	5.983450e+000	0	0	0	0	0	0	-2.8663	0	0	57.5363	25.7098
DATA	3	1	3	66	1	DarkCorner	DarkCorner	9956.58	193.427	2.059804e+000	2.027172e+000	42	25	5.989232e+000	0	0	0	0	0	0	0.528303	0	0	57.5363	25.4837
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	9982	193.455	4.743023e+001	5.156869e+000	79	26	5.717327e+000	0	0	0	0	0	0	41.7653	1	1	55.8519	25.8863
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	10007.5	193.5	2.054170e+000	2.020740e+000	38	25	5.733329e+000	0	0	0	0	0	0	-0.225245	0	0	65	25.3315
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	10032.8	193.72	7.603037e+000	2.154804e+000	48	25	5.733136e+000	0	0	0	0	0	0	6.72119	1	0	51.4001	25.1369
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	10058	193.458	9.116816e+000	2.207896e+000	48	24	5.692079e+000	0	0	0	0	0	0	8.08076	1	0	48.5334	24.8026
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	10083.5	193.481	2.295914e+001	3.047758e+000	60	25	5.687507e+000	0	0	0	0	0	0	20.4159	1	1	49.8279	24.925
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	10109.1	193.5	6.712259e+000	1.895889e+000	44	25	5.855513e+000	0	0	0	0	0	0	5.99089	1	0	56.9804	25.178
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	10134.5	193.5	5.137432e+001	5.508950e+000	86.5	25	5.566643e+000	0	0	0	0	0	0	46.0416	1	1	57.5363	25.2524
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	10159.7	193.5	2.012712e+000	1.980525e+000	39	25	5.976057e+000	0	0	0	0	0	0	0.427073	0	0	57.5363	25.7326
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	10184.7	193.841	8.701786e+000	2.153970e+000	47	25	5.660194e+000	0	0	0	0	0	0	7.87145	1	0	46.5243	25.1484
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	10210.5	194.132	9.891358e+000	2.195374e+000	49.5	25	5.663781e+000	0	0	0	0	0	0	8.99526	1	1	49.1849	25.6732
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	10235.8	193.301	3.400751e+000	1.978866e+000	41	25	5.566064e+000	0	0	0	0	0	0	3.10931	1	0	51.0895	25.0186
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	10261.3	193.759	2.652298e+001	3.284918e+000	63	25	5.727933e+000	0	0	0	0	0	0	24.3924	1	1	50.1463	25.7184
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	10286.2	193.747	9.160447e+000	2.133278e+000	48	25	5.064830e+000	0	0	0	0	0	0	8.47468	1	0	48.8603	24.8682
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	10311.7	193.828	5.280294e+001	5.616650e+000	89	24	5.497649e+000	0	0	0	0	0	0	49.1588	1	1	51.7088	24.2707
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	10337.3	193.662	3.492184e+001	3.976614e+000	72	25	5.844172e+000	0	0	0	0	0	0	32.7229	1	1	49.8279	25.2998
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	10362.6	194.052	5.743674e+001	6.046484e+000	89	25	5.712506e+000	0	0	0	0	0	0	54.1802	1	1	49.1849	25.7412
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	10388.3	193.625	1.427563e+001	2.357916e+000	55	25	6.241517e+000	0	0	0	0	0	0	13.5583	1	1	48.2044	25.6826
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	10413.3	194.183	1.090893e+002	1.106702e+001	142	24	5.799682e+000	0	0	0	0	0	0	104.316	1	1	47.5395	24.7455
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	10438.8	193.765	1.481304e+002	1.492823e+001	184	25	5.632154e+000	0	0	0	0	0	0	142.646	1	1	50.4627	25.3659
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	10464.8	193.681	1.867941e+000	1.837739e+000	39.5	25	5.819561e+000	0	0	0	0	0	0	0.260971	0	0	46.8651	25.1061
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	10489.7	193.723	1.854956e+000	1.824768e+000	36	25	5.552790e+000	0	0	0	0	0	0	-2.19427	0	0	51.4001	24.9579
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	10515.4	194.338	1.195529e+001	2.170535e+000	51	25	5.637360e+000	0	0	0	0	0	0	11.7623	1	1	49.1849	25.7043
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	10540.8	193.254	3.076308e+000	1.824871e+000	42	25	6.160123e+000	0	0	0	0	0	0	3.04827	1	0	45.835	25.6066
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	10566.4	193.904	5.238113e+000	1.861086e+000	44	25	5.939236e+000	0	0	0	0	0	0	5.22788	1	0	48.5334	25.6429
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	10591.2	193.87	4.977632e+001	5.284149e+000	89.5	25	5.264190e+000	0	0	0	0	0	0	50.0242	1	1	49.5074	25.3735
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	10617	193.545	5.855470e+000	1.855746e+000	45	25	5.550005e+000	0	0	0	0	0	0	5.92668	1	0	55.8519	25.5235
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	10642	193.557	1.177074e+001	2.108174e+000	51.5	25	5.591311e+000	0	0	0	0	0	0	11.9955	1	1	50.4627	25.2746
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	10667.6	194.486	6.116815e+001	6.358643e+000	102	25	5.936145e+000	0	0	0	0	0	0	62.7681	1	1	47.2035	25.4664
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	10693.1	193.348	3.102306e+000	1.752915e+000	41.5	24	5.434716e+000	0	0	0	0	0	0	3.20501	1	0	44.7812	24.4934
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	10718.3	194.026	3.989113e+001	4.341779e+000	80	24	5.379088e+000	0	0	0	0	0	0	41.4805	1	1	49.1849	24.9559
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	10744	194.464	1.131149e+001	2.044415e+000	49	25	5.425330e+000	0	0	0	0	0	0	11.8388	1	1	46.5243	25.167
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	10768.6	193.93	2.289223e+000	1.708096e+000	40	25	5.585880e+000	0	0	0	0	0	0	2.4105	1	0	48.2044	25.3181
