circRNA	Alias	chrom	strand	txStart	txEnd	Clone9_FC	Clone9_pvalue	Clone9_FDR
hsa_circRNA_001233	hsa_circ_0000463	chr12	-	132609079	132609271	3.96798301519022	0.00880888180421868	0.473751592106166
hsa_circRNA_100604	hsa_circ_0009172	chr10	-	70218860	70229920	2.18998093436283	0.0221440067011374	0.473751592106166
hsa_circRNA_404646	hsa_circRNA_404646	chr1	-	208315673	208391347	2.18005087146123	0.0177330450442006	0.473751592106166
hsa_circRNA_047641	hsa_circ_0047641	chr18	-	46783379	46798673	2.91401867123696	0.0190196248857971	0.473751592106166
hsa_circRNA_404959	hsa_circRNA_404959	chr12	-	7301567	7303659	2.4493465264681	0.00801999745846638	0.473751592106166
hsa_circRNA_104598	hsa_circ_0002754	chr8	-	41905895	41907225	2.32859224827777	0.0493304635770279	0.473776628121422
hsa_circRNA_066536	hsa_circ_0066536	chr3	-	71739160	71759635	2.10880115310543	0.0323967293824552	0.473751592106166
hsa_circRNA_103664	hsa_circ_0003534	chr4	-	76902524	76903190	2.29171288693211	0.0154593094643287	0.473751592106166
hsa_circRNA_101707	hsa_circ_0000673	chr16	-	11940357	11940700	3.45810788793019	0.00543730883858713	0.473751592106166
hsa_circRNA_026462	hsa_circ_0026462	chr12	-	53068519	53069224	3.52054600687535	0.0254445343266695	0.473751592106166
