circRNA	Alias	chrom	strand	txStart	txEnd	Clone9_FC	Clone9_pvalue	Clone9_FDR
hsa_circRNA_092547	hsa_circ_0001445	chr4	-	144464661	144465125	-2.01254366189896	0.0482889225014702	0.473751592106166
hsa_circRNA_087856	hsa_circ_0087856	chr9	-	110062421	110084399	-2.58329876306251	0.0277752161319398	0.473751592106166
hsa_circRNA_068465	hsa_circ_0068465	chr3	-	186504915	186505671	-2.39970009035011	0.0114045230590247	0.473751592106166
hsa_circRNA_103514	hsa_circ_0006156	chr3	-	171965322	171969331	-2.44193560227854	0.0222905952333983	0.473751592106166
hsa_circRNA_101859	hsa_circ_0040188	chr16	-	70292882	70296427	-2.07177816953814	0.0204113674111259	0.473751592106166
hsa_circRNA_100833	hsa_circ_0022383	chr11	-	61605249	61615756	-6.11009059978246	0.0244256151741642	0.473751592106166
hsa_circRNA_405965	hsa_circRNA_405965	chr2	-	135625089	135626611	-2.66060203236071	0.0222217021289975	0.473751592106166
hsa_circRNA_000274	hsa_circ_0000919	chr19	-	19760861	19761115	-2.10940529939357	0.0285336308996849	0.473751592106166
hsa_circRNA_104854	hsa_circ_0087862	chr9	-	110068659	110081160	-2.30388294507234	0.023872023680745	0.473751592106166
hsa_circRNA_089762	hsa_circ_0089762	chrM	-	7586	7982	-2.51212241838622	0.041447129496285	0.473751592106166
hsa_circRNA_407092	hsa_circRNA_407092	chr8	-	89198704	89209535	-3.06686791694138	0.0107381991235913	0.473751592106166
hsa_circRNA_104743	hsa_circ_0086490	chr9	-	20360739	20365742	-2.43446887834915	0.0464698850072419	0.473751592106166
hsa_circRNA_075320	hsa_circ_0075320	chr5	-	179249957	179260782	-2.35307522086692	0.0206280236874784	0.473751592106166
hsa_circRNA_101860	hsa_circ_0003438	chr16	-	70294946	70296427	-2.10921178096434	0.0251663238851559	0.473751592106166
hsa_circRNA_061346	hsa_circ_0061346	chr21	-	27372329	27425664	-2.702560795198	0.0231251745032965	0.473751592106166
hsa_circRNA_008389	hsa_circ_0008389	chr1	-	6727768	6741097	-2.87269024288741	0.00419414753139521	0.473751592106166
hsa_circRNA_000102	hsa_circ_0000102	chr1	-	109479800	109479932	-2.1942934181457	0.0191600338632257	0.473751592106166
hsa_circRNA_104853	hsa_circ_0087861	chr9	-	110068659	110074018	-2.13581912287373	0.0414810481700415	0.473751592106166
hsa_circRNA_007148	hsa_circ_0007148	chr3	-	171851260	171969331	-2.48215974668164	0.0208337493090771	0.473751592106166
hsa_circRNA_104259	hsa_circ_0078607	chr6	-	160819010	160831878	-5.84903174429344	0.0113071618883494	0.473751592106166
hsa_circRNA_101307	hsa_circ_0008539	chr13	-	114164552	114175048	-2.33104597518475	0.0174593244154027	0.473751592106166
hsa_circRNA_101308	hsa_circ_0031027	chr13	-	114164552	114193822	-2.32675150755176	0.0105661644889348	0.473751592106166
hsa_circRNA_071210	hsa_circ_0071210	chr4	-	151749331	151753128	-2.28962344714585	0.0262248857425314	0.473751592106166
hsa_circRNA_001547	hsa_circ_0001874	chr9	-	95500310	95500614	-2.45575730964457	0.0353704326035851	0.473751592106166
hsa_circRNA_103758	hsa_circ_0071196	chr4	-	151727422	151729550	-2.68500914444938	0.0192879644006346	0.473751592106166
hsa_circRNA_103044	hsa_circ_0004870	chr20	-	34302106	34313077	-2.02574884125288	0.0154139976747952	0.473751592106166
hsa_circRNA_103181	hsa_circ_0062603	chr22	-	24698162	24765288	-2.08502611899128	0.0306108216569192	0.473751592106166
hsa_circRNA_100130	hsa_circ_0011245	chr1	-	31447497	31454252	-2.63336517584664	0.0481560197143401	0.473751592106166
hsa_circRNA_104258	hsa_circ_0078605	chr6	-	160819010	160828227	-3.13580551310794	0.00715066044042841	0.473751592106166
hsa_circRNA_001082	hsa_circ_0000792	chr17	-	56409123	56409324	-2.66702153983765	0.0466168853516425	0.473751592106166
hsa_circRNA_089763	hsa_circ_0089763	chrM	-	8366	14149	-2.01070882446998	0.0361157681226939	0.473751592106166
hsa_circRNA_100834	hsa_circ_0022392	chr11	-	61630443	61631258	-4.04933949764131	0.0298746916529805	0.473751592106166
hsa_circRNA_403517	hsa_circRNA_403517	chr5	-	179250857	179252226	-3.36161476237718	0.0228262982452825	0.473751592106166
