circRNA	Alias	chrom	strand	txStart	txEnd	Clone1_FC	Clone1_pvalue	Clone1_FDR
hsa_circRNA_103740	hsa_circ_0001439	chr4	-	129913321	129925031	2.61742396720738	0.0404716147408144	0.285801514309642
hsa_circRNA_103361	hsa_circ_0001296	chr3	-	47719687	47727660	2.61326500737518	0.00426054166235594	0.225959965038967
hsa_circRNA_076155	hsa_circ_0076155	chr6	-	35586872	35604935	2.08190272268203	0.0018477839204438	0.187800288664273
hsa_circRNA_102034	hsa_circ_0005397	chr17	-	30500849	30503232	2.01161907059988	0.0134353759162322	0.240565037551812
hsa_circRNA_100544	hsa_circ_0017643	chr10	-	7325865	7327916	2.07127849926018	0.0254793820076389	0.262556317714
hsa_circRNA_068697	hsa_circ_0068697	chr3	-	196846280	196869639	3.11998468273737	0.0249912932967597	0.262556317714
hsa_circRNA_001233	hsa_circ_0000463	chr12	-	132609079	132609271	3.8590561182969	0.00816573641269952	0.239344103791601
hsa_circRNA_001440	hsa_circ_0001440	chr4	-	129913321	129960251	2.09501162261296	0.0334596479814831	0.273651119325508
hsa_circRNA_100604	hsa_circ_0009172	chr10	-	70218860	70229920	2.50249913432806	0.00422533681480051	0.225959965038967
hsa_circRNA_406763	hsa_circRNA_406763	chr6	-	35604790	35614627	2.94534151933477	0.00324964631280454	0.216329798938925
hsa_circRNA_102205	hsa_circ_0045862	chr17	-	76082583	76083174	3.03415820732043	0.0286710147738739	0.265227689772853
hsa_circRNA_405814	hsa_circRNA_405814	chr19	-	57088080	57089646	2.56767000802155	0.0406744486127186	0.285801514309642
hsa_circRNA_001490	hsa_circ_0001490	chr5	-	61653517	61657356	2.85227147452488	0.0297682971820016	0.266467225325495
hsa_circRNA_007924	hsa_circ_0007924	chr14	-	55215532	55231258	2.57373897404536	0.0225671883079046	0.258740371704142
hsa_circRNA_100914	hsa_circ_0023903	chr11	-	85692171	85742653	2.07344472985859	0.0111833552652303	0.239344103791601
hsa_circRNA_050055	hsa_circ_0050055	chr19	-	17973726	17974124	2.00637026466017	0.0376372999438081	0.283135802275817
hsa_circRNA_103844	hsa_circ_0072567	chr5	-	58476420	58489362	2.48538289951089	0.0243800775712464	0.261273562122833
hsa_circRNA_103551	hsa_circ_0068563	chr3	-	194947437	194947585	2.03966111267191	0.0089933514482688	0.239344103791601
hsa_circRNA_100696	hsa_circ_0008896	chr10	-	122273422	122280607	2.50606756431851	0.000845901142628934	0.171206175275802
hsa_circRNA_103547	hsa_circ_0003759	chr3	-	188326948	188327632	2.01980389465209	0.0471628029547458	0.299932005954313
hsa_circRNA_041100	hsa_circ_0041100	chr16	-	89961445	89977071	3.17316960804223	0.0288143231689274	0.265227689772853
hsa_circRNA_001642	hsa_circ_0001642	chr6	-	135507040	135524462	2.04739736769316	0.0397368831984911	0.285801514309642
hsa_circRNA_405920	hsa_circRNA_405920	chr2	-	85190038	85194004	3.36704333593989	0.0155806591629564	0.242017779283403
hsa_circRNA_404646	hsa_circRNA_404646	chr1	-	208315673	208391347	2.66656060749983	0.00412781635215834	0.22375057860005
hsa_circRNA_104101	hsa_circ_0001599	chr6	-	35586872	35610620	2.35633494074353	0.0132684067781767	0.240565037551812
hsa_circRNA_104533	hsa_circ_0083092	chr7	-	155471301	155473602	2.43744408196183	0.00510879489742728	0.227609642987205
hsa_circRNA_103372	hsa_circ_0003748	chr3	-	48726970	48728915	2.64830030739294	0.00328141951859802	0.216329798938925
hsa_circRNA_047641	hsa_circ_0047641	chr18	-	46783379	46798673	2.96641619345393	0.0406080515158927	0.285801514309642
hsa_circRNA_003402	hsa_circ_0003402	chr12	-	42521847	42523653	2.41903015384198	0.029756600273862	0.266467225325495
hsa_circRNA_404959	hsa_circRNA_404959	chr12	-	7301567	7303659	2.27685388896605	0.00685326118989742	0.239344103791601
hsa_circRNA_101141	hsa_circ_0005785	chr12	-	110819556	110834257	2.71491173048587	0.0414444179910192	0.286789493857003
hsa_circRNA_101435	hsa_circ_0033144	chr14	-	99723807	99724176	5.16575519572824	0.0128461230182055	0.240565037551812
hsa_circRNA_104598	hsa_circ_0002754	chr8	-	41905895	41907225	3.22109998368067	0.000349100532358609	0.167310835187368
hsa_circRNA_001726	hsa_circ_0001726	chr7	-	99090662	99092254	2.02848354899629	0.00859741476195201	0.239344103791601
hsa_circRNA_102062	hsa_circ_0007990	chr17	-	37840849	37842272	2.10925843858859	0.0394308521921408	0.285801514309642
hsa_circRNA_066536	hsa_circ_0066536	chr3	-	71739160	71759635	3.35628464743242	0.0413970920410268	0.286789493857003
hsa_circRNA_406157	hsa_circRNA_406157	chr21	-	45302384	45323900	2.25855964513508	0.0203235767307479	0.249031432315771
hsa_circRNA_000129	hsa_circ_0000129	chr1	-	151145974	151149507	3.92030806024043	0.0385207534846399	0.2843482544861
hsa_circRNA_101460	hsa_circ_0034067	chr15	-	22925975	22926065	3.17448737358812	0.0442623229877364	0.293397780833044
hsa_circRNA_000407	hsa_circ_0000407	chr12	-	56558216	56558309	2.20931187121006	0.0395014886545243	0.285801514309642
hsa_circRNA_104086	hsa_circ_0003738	chr6	-	25420341	25435832	2.00464575826705	0.0452161927284778	0.295473319247094
hsa_circRNA_406281	hsa_circRNA_406281	chr3	-	52723939	52724314	2.23125991753464	0.0255431714555323	0.262556317714
hsa_circRNA_100876	hsa_circ_0023404	chr11	-	71668272	71671937	2.31287833317683	0.00763887264269589	0.239344103791601
hsa_circRNA_103664	hsa_circ_0003534	chr4	-	76902524	76903190	2.4311532817037	0.00397451481862176	0.222284155881134
hsa_circRNA_051799	hsa_circ_0051799	chr19	-	49458943	49464519	2.06270525252951	0.0114353813742573	0.239344103791601
hsa_circRNA_007326	hsa_circ_0007326	chr14	-	24679553	24679974	2.36923387194478	0.0132661066491625	0.240565037551812
hsa_circRNA_102787	hsa_circ_0001055	chr2	-	100623093	100625394	2.84646387631128	0.0140044360156668	0.240565037551812
hsa_circRNA_008382	hsa_circ_0008382	chr2	-	231222519	231226412	2.58905554353487	0.0225942975172275	0.258747137177921
hsa_circRNA_001654	hsa_circ_0001605	chr6	-	42903447	42905047	2.52658765447967	0.0410038773752541	0.286482822604737
hsa_circRNA_001409	hsa_circ_0001204	chr22	-	20070853	20070981	2.04807259501684	0.0390786108628719	0.285432452306997
hsa_circRNA_101707	hsa_circ_0000673	chr16	-	11940357	11940700	4.16055543988503	0.0383299155085237	0.284336938936817
hsa_circRNA_406683	hsa_circRNA_406683	chr5	-	140305480	140308910	3.02312813830868	0.00234653977957042	0.209621214933546
hsa_circRNA_104399	hsa_circ_0080576	chr7	-	73790216	73795193	2.04080882358994	0.0035049747208226	0.222065184097832
hsa_circRNA_025054	hsa_circ_0025054	chr12	-	4382901	4388085	2.18628911494684	0.00144258364210047	0.180371305839018
hsa_circRNA_061260	hsa_circ_0061260	chr21	-	11047480	11049621	2.64688404108406	0.0002484879688225	0.167310835187368
hsa_circRNA_406207	hsa_circRNA_406207	chr22	-	46189424	46202902	2.1211425850344	0.000473499992615791	0.167310835187368
hsa_circRNA_404091	hsa_circRNA_404091	chr8	-	104709313	104709524	2.1048725396304	0.00463144982618142	0.225959965038967
hsa_circRNA_007215	hsa_circ_0007215	chr4	-	3316517	3344780	2.59828524238047	0.0238387627768066	0.260834668204582
hsa_circRNA_104398	hsa_circ_0002755	chr7	-	73770739	73771807	2.47058989892156	0.0257112317889477	0.262556317714
hsa_circRNA_000361	hsa_circ_0001275	chr3	-	17059499	17059748	5.77721968064707	0.0473333417021504	0.299932005954313
hsa_circRNA_104310	hsa_circ_0079385	chr7	-	6624646	6624891	2.3509715649447	0.00572487686969998	0.231992072142552
hsa_circRNA_102000	hsa_circ_0042444	chr17	-	20795542	20795745	2.35432293253063	0.0017191480021437	0.182323120183871
hsa_circRNA_400896	hsa_circRNA_400896	chr12	-	20782841	20792891	2.35499591881974	0.0359288620939715	0.279988286525282
hsa_circRNA_037274	hsa_circ_0037274	chr16	-	981641	1004666	2.46066025326959	0.0201392269726555	0.247985574525191
hsa_circRNA_026462	hsa_circ_0026462	chr12	-	53068519	53069224	5.68974287808981	0.0260308177660449	0.263044747110264
hsa_circRNA_103717	hsa_circ_0070617	chr4	-	108614926	108622441	2.64729588605306	0.00398308004493774	0.222284155881134
hsa_circRNA_404841	hsa_circRNA_404841	chr11	-	8759016	8759820	2.36033523495111	0.00587481833868679	0.232827451296016
hsa_circRNA_104193	hsa_circ_0077930	chr6	-	135748304	135778851	2.70677001520295	0.0146874424007372	0.242017779283403
hsa_circRNA_000510	hsa_circ_0000510	chr13	-	114518962	114519190	2.26562999546129	0.011704436257069	0.240431559645742
hsa_circRNA_086684	hsa_circ_0086684	chr9	-	33921690	33973235	2.09986646343064	0.0456803864792449	0.296345432764623
