circRNA	Alias	chrom	strand	txStart	txEnd	Clone1_FC	Clone1_pvalue	Clone1_FDR
hsa_circRNA_092547	hsa_circ_0001445	chr4	-	144464661	144465125	-2.82296343608573	0.0364873577992811	0.280138100593814
hsa_circRNA_060539	hsa_circ_0060539	chr20	-	43953928	43956055	-3.46449206438327	0.00107712276874942	0.171206175275802
hsa_circRNA_003251	hsa_circ_0003251	chr12	-	1003727	1006847	-2.89030322411011	0.0399296278632255	0.285801514309642
hsa_circRNA_005185	hsa_circ_0005185	chr14	-	30093357	30105700	-2.98494000488974	0.00709754369666706	0.239344103791601
hsa_circRNA_404643	hsa_circRNA_404643	chr1	-	204396775	204397348	-4.08204160871378	0.00994220292750067	0.239344103791601
hsa_circRNA_002971	hsa_circ_0002971	chr6	-	158288578	158296208	-2.09967990361109	0.0355222120284091	0.279508244162248
hsa_circRNA_022382	hsa_circ_0022382	chr11	-	61605249	61608197	-14.5145107853785	0.000251607922834424	0.167310835187368
hsa_circRNA_087856	hsa_circ_0087856	chr9	-	110062421	110084399	-4.63050379909526	0.0249275963115084	0.262556317714
hsa_circRNA_068465	hsa_circ_0068465	chr3	-	186504915	186505671	-3.51584941411611	0.00619092811816019	0.236881904505447
hsa_circRNA_066556	hsa_circ_0066556	chr3	-	77147164	77147491	-2.2158996395374	0.00576401689349336	0.231992072142552
hsa_circRNA_001985	hsa_circ_0001985	chr3	-	33450727	33467233	-2.04299479809969	0.0140568994573257	0.240565037551812
hsa_circRNA_103514	hsa_circ_0006156	chr3	-	171965322	171969331	-2.14741600513659	0.0328243679458777	0.271813581608046
hsa_circRNA_101825	hsa_circ_0008242	chr16	-	66759730	66763002	-2.37797596716201	0.00748993697749477	0.239344103791601
hsa_circRNA_008337	hsa_circ_0008337	chr8	-	62546241	62596747	-2.29688896490095	0.00170424996254105	0.182323120183871
hsa_circRNA_404755	hsa_circRNA_404755	chr10	-	61865662	61898845	-2.23705230744934	0.0130120470469294	0.240565037551812
hsa_circRNA_403150	hsa_circRNA_403150	chr4	-	77977114	77987558	-2.04354108204033	0.00428030605049973	0.225959965038967
hsa_circRNA_059880	hsa_circ_0059880	chr20	-	32354656	32358098	-3.44655242315862	0.0177251820423055	0.242390121232967
hsa_circRNA_401640	hsa_circRNA_401640	chr16	-	70301561	70316687	-10.1065915268852	0.0129571379873015	0.240565037551812
hsa_circRNA_004594	hsa_circ_0004594	chr19	-	6230580	6270770	-2.32971538471381	1.5521221677705e-05	0.075720279954684
hsa_circRNA_071106	hsa_circ_0071106	chr4	-	148778703	148803083	-3.52093350514722	0.0161175863038171	0.242017779283403
hsa_circRNA_101859	hsa_circ_0040188	chr16	-	70292882	70296427	-2.08839669115258	0.0308899268449817	0.267666977110557
hsa_circRNA_001531	hsa_circ_0001531	chr5	-	132426884	132428481	-2.05936082958057	0.0489329760881757	0.30324574667697
hsa_circRNA_101643	hsa_circ_0036750	chr15	-	90446447	90454051	-2.17351469356079	0.0108054390760519	0.239344103791601
hsa_circRNA_103255	hsa_circ_0063776	chr22	-	46493805	46494438	-2.27462754497477	0.0200677651827665	0.24753626408123
hsa_circRNA_100886	hsa_circ_0003908	chr11	-	73418464	73431944	-2.14063494874736	0.0439742382991131	0.292996676986881
hsa_circRNA_101784	hsa_circ_0008223	chr16	-	28177828	28181230	-2.73135418637235	0.0300382743776575	0.267305484816585
hsa_circRNA_086474	hsa_circ_0086474	chr9	-	19376253	19378916	-2.18614092753921	0.0145944523650904	0.242017779283403
hsa_circRNA_000030	hsa_circ_0000030	chr1	-	23836176	23836434	-3.42170448880021	0.0179454010951443	0.242475207850772
hsa_circRNA_038343	hsa_circ_0038343	chr16	-	19627435	19644494	-2.13854932659019	0.0171376840025645	0.242017779283403
