Gene_ID	miRNA_family_ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Branch length score	Pct	Conserved
hsa_circ_0022393	miR-105-3p	9606	27	33	27	33	1	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1178-3p	9606	546	552	546	552	2	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-1178-3p	9606	808	813	808	813	3	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1178-5p	9606	649	654	649	654	4	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1180-5p/7114-3p	9606	336	343	336	343	5	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-1182	9606	648	654	648	654	6	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1193	9606	202	207	202	207	7	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1197	9606	226	231	226	231	8	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1197	9606	454	459	454	459	9	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1197	9606	519	525	519	525	10	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1202/3972	9606	137	142	137	142	11	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1207-3p	9606	734	740	734	740	12	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-1224-3p	9606	583	589	583	589	13	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1224-3p	9606	597	602	597	602	14	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1224-5p	9606	84	90	84	90	15	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-1227-3p	9606	138	143	138	143	16	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1227-5p	9606	460	466	460	466	17	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1233-5p/6778-5p	9606	257	262	257	262	18	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1234-3p/7107-5p	9606	681	686	681	686	19	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1236-3p	9606	164	169	164	169	20	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1237-5p/4488/4697-5p	9606	272	277	272	277	21	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1237-5p/4488/4697-5p	9606	667	672	667	672	22	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1238-5p/4758-5p	9606	715	720	715	720	23	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1245-3p	9606	591	596	591	596	24	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1245-5p/3142	9606	380	386	380	386	25	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-1247-3p	9606	505	511	505	511	26	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1247-5p	9606	633	639	633	639	27	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1249-5p/6797-5p	9606	130	136	130	136	28	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-1249-5p/6797-5p	9606	723	729	723	729	29	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-1249-5p/6797-5p	9606	75	80	75	80	30	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-125-5p/4319	9606	418	423	418	423	31	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-125-5p/4319	9606	539	544	539	544	32	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-1252-5p	9606	764	769	764	769	33	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1255-5p	9606	119	124	119	124	34	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1255-5p	9606	717	723	717	723	35	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-125a-3p	9606	476	481	476	481	36	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-125a-3p	9606	745	750	745	750	37	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1265	9606	203	208	203	208	38	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1265	9606	64	69	64	69	39	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-127-5p	9606	535	541	535	541	40	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1273-5p/30-3p/3689-3p/6779-5p/6780-5p	9606	198	204	198	204	41	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1273g-3p	9606	784	790	784	790	42	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-1273h-3p	9606	472	477	472	477	43	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1275/4665-5p	9606	569	575	569	575	44	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-128-3p/216-3p/3681-3p	9606	260	266	260	266	45	7mer-m8	x	7mer-m8	0	0.0	
hsa_circ_0022393	miR-128-5p	9606	209	214	209	214	46	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-128-5p	9606	271	276	271	276	47	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-128-5p	9606	281	286	281	286	48	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-128-5p	9606	460	466	460	466	49	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-128-5p	9606	666	671	666	671	50	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1288-3p	9606	760	766	760	766	51	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1288-5p	9606	250	255	250	255	52	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1288-5p	9606	469	475	469	475	53	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-129-3p	9606	489	494	489	494	54	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-129-3p	9606	541	546	541	546	55	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-1291/6775-3p	9606	419	425	419	425	56	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1292-5p	9606	255	261	255	261	57	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-1292-5p	9606	706	711	706	711	58	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1295	9606	381	386	381	386	59	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1295-5p/1912	9606	593	599	593	599	60	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1295-5p/1912	9606	653	659	653	659	61	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-1296-3p	9606	258	263	258	263	62	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1298-3p	9606	463	469	463	469	63	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1298-3p	9606	802	807	802	807	64	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1298-5p	9606	676	681	676	681	65	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1299	9606	800	806	800	806	66	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1302/4298	9606	441	447	441	447	67	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-1304-5p	9606	85	90	85	90	68	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1343-3p/6783-3p	9606	375	380	375	380	69	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-135b-3p	9606	45	50	45	50	70	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-136-3p	9606	145	150	145	150	71	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-136-3p	9606	467	472	467	472	72	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-136-5p	9606	364	370	364	370	73	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-140-3p.1	9606	262	267	262	267	74	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-143-5p	9606	473	478	473	478	75	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-145-3p	9606	564	570	564	570	76	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-146-5p/7153-5p	9606	300	305	300	305	77	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-1468-3p	9606	525	530	525	530	78	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-146b-3p	9606	419	424	419	424	79	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-146b-3p	9606	487	493	487	493	80	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-146b-3p	9606	540	545	540	545	81	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-147a	9606	342	347	342	347	82	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-148-3p/152-3p	9606	140	146	140	146	83	7mer-1a	x	7mer-1a	0	0.0	
hsa_circ_0022393	miR-149-3p/4728-5p/6785-5p/6883-5p	9606	198	204	198	204	84	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-149-3p/4728-5p/6785-5p/6883-5p	9606	503	508	503	508	85	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-149-5p	9606	403	408	403	408	86	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-150-5p	9606	239	246	239	246	87	8mer-1a	x	8mer-1a	0	0.0	
hsa_circ_0022393	miR-150-5p	9606	531	536	531	536	88	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-150-5p	9606	69	74	69	74	89	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-1538/4745-3p	9606	684	690	684	690	90	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-154-3p/487-3p	9606	624	630	624	630	91	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-15a-3p	9606	640	645	640	645	92	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-15b-3p	9606	115	121	115	121	93	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-17-5p/20-5p/93-5p/106-5p/519-3p/526-3p	9606	183	188	183	188	94	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-18-5p/4735-3p	9606	791	797	791	797	95	7mer-1a	x	7mer-1a	0	0.0	
hsa_circ_0022393	miR-181a-2-3p	9606	783	790	783	790	96	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-1825	9606	135	140	135	140	97	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1825	9606	325	330	325	330	98	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-18a-3p	9606	556	562	556	562	99	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1909-3p/6722-3p	9606	283	289	283	289	100	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1910-3p/6511-5p	9606	513	518	513	518	101	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1911-3p	9606	436	442	436	442	102	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1914-3p/5194/6738-5p	9606	722	727	722	727	103	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1914-5p	9606	486	491	486	491	104	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1915-3p/6764-5p	9606	103	108	103	108	105	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1915-3p/6764-5p	9606	123	129	123	129	106	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1915-3p/6764-5p	9606	190	195	190	195	107	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1915-3p/6764-5p	9606	229	234	229	234	108	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-1915-3p/6764-5p	9606	651	657	651	657	109	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1915-3p/6764-5p	9606	670	677	670	677	110	8mer-1a	x	8mer-1a	0	NA	
hsa_circ_0022393	miR-1915-3p/6764-5p	9606	67	73	67	73	111	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-192-3p	9606	155	160	155	160	112	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-192-3p	9606	215	220	215	220	113	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-193a-5p	9606	648	653	648	653	114	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-194-3p	9606	134	139	134	139	115	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-194-3p	9606	258	264	258	264	116	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-194-3p	9606	324	329	324	329	117	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-194-3p	9606	727	733	727	733	118	7mer-1a	x	7mer-1a	0	NA	
hsa_circ_0022393	miR-1972	9606	640	646	640	646	119	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-1976	9606	376	381	376	381	120	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-199-5p	9606	135	140	135	140	121	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-199-5p	9606	325	330	325	330	122	6mer	x	6mer	0	0.0	
hsa_circ_0022393	miR-210-5p	9606	219	225	219	225	123	7mer-m8	x	7mer-m8	0	NA	
hsa_circ_0022393	miR-211-3p	9606	122	127	122	127	124	6mer	x	6mer	0	NA	
hsa_circ_0022393	miR-211-3p	9606	708	714	708	714	125	7mer-1a	x	7mer-1a	0	NA	
